		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 0.179688	M = 100	N = 8	m = 9	n = 800
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
000000001    1    0    0    0    1    0    1    0 11.545859 0.172646 SUCCESS   0
000000011    0    0    0    0    1    0    1    0  8.153212 0.418649 SUCCESS   1
000000101    1    0    0    1    0    0    0    0  8.153212 0.418649 SUCCESS   2
000000111    0    0    0    0    1    1    0    0  8.153212 0.418649 SUCCESS   3
000001001    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   4
000001011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS   5
000001101    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   6
000001111    0    0    1    0    0    1    0    0  8.153212 0.418649 SUCCESS   7
000010001    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS   8
000010011    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS   9
000010101    0    0    0    0    1    0    1    0  8.153212 0.418649 SUCCESS  10
000010111    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  11
000011001    0    0    0    0    0    1    0    0  4.760566 0.782834 SUCCESS  12
000011011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  13
000011101    0    0    0    0    0    1    0    0  4.760566 0.782834 SUCCESS  14
000011111    0    0    1    0    0    0    0    0  4.760566 0.782834 SUCCESS  15
000100011    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  16
000100101    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS  17
000100111    1    0    0    1    0    0    0    0  8.153212 0.418649 SUCCESS  18
000101001    1    0    0    0    0    0    0    1  8.153212 0.418649 SUCCESS  19
000101011    1    0    0    0    1    1    0    1 14.938505 0.060352 SUCCESS  20
000101101    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  21
000101111    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  22
000110011    0    0    1    0    0    1    1    0 11.545859 0.172646 SUCCESS  23
000110101    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS  24
000110111    0    0    1    0    0    0    1    0  8.153212 0.418649 SUCCESS  25
000111001    0    0    0    1    1    0    0    0  8.153212 0.418649 SUCCESS  26
000111011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  27
000111101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  28
000111111    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  29
001000011    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS  30
001000101    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  31
001000111    1    0    0    0    0    0    0    0  4.760566 0.782834 SUCCESS  32
001001011    0    0    0    0    0    0    0    1  4.760566 0.782834 SUCCESS  33
001001101    0    1    0    0    0    0    0    1  8.153212 0.418649 SUCCESS  34
001001111    0    0    0    1    0    0    0    0  4.760566 0.782834 SUCCESS  35
001010011    0    0    0    0    1    0    0    0  4.760566 0.782834 SUCCESS  36
001010101    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  37
001010111    1    0    0    0    1    1    0    1 14.938505 0.060352 SUCCESS  38
001011011    0    0    0    0    0    0    0    0  1.367919 0.994690 SUCCESS  39
