		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000    2    5    2    4    4    2    1    2  6.075785 0.638743 SUCCESS  76
100101000    2    0    3    3    2    3    1    1  4.788234 0.779952 SUCCESS  77
100110000    3    4    4    1    2    1    1    0  7.393125 0.494871 SUCCESS  78
100111000    1    2    3    4    3    7    2    2 11.285566 0.186038 SUCCESS  79
101000000    3    4    4    3    3    2    0    0  7.581789 0.475349 SUCCESS  80
101000100    4    2    2    2    3    1    3    2  2.497784 0.961834 SUCCESS  81
101001000    1    2    1    1    1    2    1    3  4.599570 0.799391 SUCCESS  82
101001100    3    0    1    0    0    3    1    0 11.974025 0.152367 SUCCESS  83
101010000    5    1    0    2    1    2    0    2  9.746463 0.283274 SUCCESS  84
101010100    4    3    0    4    2    4    2    4  6.986007 0.538143 SUCCESS  85
101011000    1    2    3    0    0    3    1    2  7.141573 0.521438 SUCCESS  86
101011100    2    5    1    4    2    2    4    3  6.138673 0.631702 SUCCESS  87
101100000    1    2    4    2    3    4    5    3  6.201561 0.624665 SUCCESS  88
101100100    4    3    1    3    4    2    2    4  4.444005 0.815009 SUCCESS  89
101101000    4    4    3    1    3    2    1    2  4.255341 0.833382 SUCCESS  90
101101100    2    2    9    2    3    0    1    1 22.896692 0.003499 FAILURE  91
101110000    4    2    1    3    2    3    3    2  2.560672 0.958842 SUCCESS  92
101110100    1    2    3    0    3    2    3    4  4.976899 0.760042 SUCCESS  93
101111000    2    4    1    3    0    2    2    1  5.635568 0.687978 SUCCESS  94
101111100    1    4    3    0    2    5    0    1 10.782461 0.214332 SUCCESS  95
110000000    0    0    3    2    3    3    4    3  6.671567 0.572447 SUCCESS  96
110000010    4    4    3    0    2    2    2    6 10.375344 0.239663 SUCCESS  97
110000100    1    3    2    2    5    3    3    2  4.318229 0.827331 SUCCESS  98
110001000    2    5    0    3    0    1    1    5 12.540018 0.128687 SUCCESS  99
110001010    2    2    1    6    2    6    2    1 12.854458 0.116956 SUCCESS 100
110010000    2    5    3    4    5    2    1    3  7.959118 0.437474 SUCCESS 101
110010010    4    1    4    1    3    1    2    1  5.761345 0.673945 SUCCESS 102
110010100    3    1    2    4    1    2    2    1  4.003788 0.856782 SUCCESS 103
110011000    1    5    3    4    1    1    2    0  9.150681 0.329745 SUCCESS 104
110011010    3    1    1    2    1    4    1    2  4.788234 0.779952 SUCCESS 105
110100000    4    3    4    3    5    2    3    0  7.896229 0.443672 SUCCESS 106
110100010    4    3    1    2    0    1    2    1  6.420015 0.600293 SUCCESS 107
110100100    2    1    0    1    1    4    5    2  9.087793 0.334944 SUCCESS 108
110101000    4    2    0    2    3    3    0    1  7.330237 0.501457 SUCCESS 109
110101010    3    6    0    4    2    2    3    5 12.195788 0.142680 SUCCESS 110
110101100    3    1    2    1    0    2    2    5  7.393125 0.494871 SUCCESS 111
110110000    0    1    8    2    5    2    3    5 22.426686 0.004184 FAILURE 112
110110010    5    0    2    4    5    3    3    3  9.653786 0.290171 SUCCESS 113
110110100    5    2    3    2    2    3    4    3  4.506893 0.808743 SUCCESS 114
110111000    3    1    2    5    3    2    5    5  9.716674 0.285477 SUCCESS 115
110111010    5    2    2    0    1    0    2    2  8.962017 0.345510 SUCCESS 116
110111100    2    5    0    3    3    3    4    2  6.923119 0.544950 SUCCESS 117
111000000    0    1    1    2    2    6    2    5 12.665794 0.123878 SUCCESS 118
111000010    0    4    1    4    5    3    5    1 12.070012 0.148107 SUCCESS 119
111000100    2    3    1    5    2    3    2    6  9.590898 0.294921 SUCCESS 120
111000110    2    3    1    2    1    1    2    4  4.003788 0.856782 SUCCESS 121
111001000    2    5    2    4    4    4    1    5  9.779562 0.280840 SUCCESS 122
111001010    4    3    2    3    3    2    3    5  4.569781 0.802412 SUCCESS 123
111001100    1    2    4    4    1    1    3    0  7.393125 0.494871 SUCCESS 124
111010000    3    3    7    3    5    3    3    0 14.863567 0.061853 SUCCESS 125
111010010    0    3    0    1    3    4    5    5 12.791570 0.119225 SUCCESS 126
111010100    2    3    1    4    1    3    2    3  3.345118 0.910872 SUCCESS 127
111010110    3    2    3    0    1    0    3    4  7.393125 0.494871 SUCCESS 128
111011000    0    2    6    2    6    1    4    5 18.190015 0.019846 SUCCESS 129
111011010    3    3    1    3    2    3    3    1  2.497784 0.961834 SUCCESS 130
111011100    3    3    3    2    4    1    5    3  5.354227 0.719131 SUCCESS 131
111100000    2    4    1    0    2    7    2    3 13.638904 0.091676 SUCCESS 132
111100010    3    1    0    6    1    3    1    3 10.908238 0.206953 SUCCESS 133
111100100    0    0    7    2    2    5    2    3 17.028241 0.029816 SUCCESS 134
111100110    2    2    1    7    3    4    3    1 12.070012 0.148107 SUCCESS 135
111101000    5    3    3    4    4    3    5    2  8.210670 0.413167 SUCCESS 136
111101010    5    6    1    3    1    1    5    3 13.890457 0.084666 SUCCESS 137
111101100    2    2    3    4    8    0    6    4 23.462684 0.002818 FAILURE 138
111101110    3    4    5    2    1    2    6    0 12.917346 0.114725 SUCCESS 139
111110000    1    5    2    1    3    5    3    2  7.770453 0.456208 SUCCESS 140
111110010    1    1    5    1    3    1    1    4  8.303347 0.404413 SUCCESS 141
111110100    7    2    3    3    2    6    5    2 17.594234 0.024483 SUCCESS 142
111110110    0    2    0    4    6    1    2    3 12.602906 0.126262 SUCCESS 143
111111000    1    2    2    2    2    1    2    5  4.914011 0.766726 SUCCESS 144
111111010    2    4    2    5    0    4    7    3 16.558235 0.035052 SUCCESS 145
111111100    1    3    1    0    2    1    2    3  5.509792 0.701955 SUCCESS 146
111111110    2    1    1    3    1    2    4    0  6.420015 0.600293 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 2.425781	M = 1250	N = 8	m = 9	n = 10000
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001    3    2    2    5    4    0    4    5 10.501120 0.231599 SUCCESS   0
000000011    2    2    0    7    5    3    3    3 14.737791 0.064449 SUCCESS   1
000000101    5    3    5    3    3    1    5    3  9.842450 0.276259 SUCCESS   2
000000111    3    0    1    4    5    3    2    1  8.429123 0.392713 SUCCESS   3
000001001    2    3    3    3    3    1    3    3  1.776226 0.987120 SUCCESS   4
000001011    5    2    6    2    2    2    3    4  9.716674 0.285477 SUCCESS   5
000001101    4    5    3    4    3    3    5    6 13.546227 0.094387 SUCCESS   6
000001111    1    0    4    3    3    3    0    2  7.393125 0.494871 SUCCESS   7
000010001    3    4    1    3    0    2    2    2  4.914011 0.766726 SUCCESS   8
000010011    2    3    1    4    2    3    2    1  3.282230 0.915418 SUCCESS   9
000010101    4    4    3    2    4    2    3    4  4.632669 0.796018 SUCCESS  10
000010111    4    1    6    4    0    4    1    4 13.827568 0.086372 SUCCESS  11
000011001    1    1    2    3    1    2    4    2  4.003788 0.856782 SUCCESS  12
000011011    4    6    2    3    4    2    4    4  9.905338 0.271733 SUCCESS  13
000011101    4    2    0    2    4    0    4    3  8.429123 0.392713 SUCCESS  14
000011111    2    1    4    4    2    3    2    2  3.408006 0.906211 SUCCESS  15
000100011    2    3    0    2    3    2    1    2  3.940900 0.862416 SUCCESS  16
000100101    1    1    4    1    2    1    3    3  4.851122 0.773363 SUCCESS  17
000100111    2    4    1    5    3    1    3    0  8.429123 0.392713 SUCCESS  18
000101001    1    3    1    3    3    4    5    0  8.492011 0.386941 SUCCESS  19
000101011    4    3    1    2    2    3    3    3  2.623560 0.955720 SUCCESS  20
