		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
100100000  231  254  249  228  251  231  237  255  3.991723 0.857869 SUCCESS  76
100101000  248  215  278  229  214  208  238  252 19.284757 0.013409 SUCCESS  77
100110000  234  259  250  251  254  246  237  248  2.424515 0.965158 SUCCESS  78
100111000  242  225  248  279  237  241  224  251  8.957938 0.345857 SUCCESS  79
101000000  237  213  249  251  240  229  248  252  5.988519 0.648518 SUCCESS  80
101000100  264  249  258  237  228  238  233  251  4.789965 0.779771 SUCCESS  81
101001000  222  266  259  276  212  235  223  254 16.372053 0.037354 SUCCESS  82
101001100  249  225  249  236  239  252  242  249  2.524705 0.960569 SUCCESS  83
101010000  243  246  267  256  238  255  224  272  8.501606 0.386065 SUCCESS  84
101010100  231  239  261  252  244  244  257  244  3.012464 0.933573 SUCCESS  85
101011000  281  267  242  226  228  257  229  244 12.161448 0.144145 SUCCESS  86
101011100  224  241  223  239  242  248  252  250  4.251498 0.833749 SUCCESS  87
101100000  251  265  241  225  248  230  254  222  7.033628 0.533009 SUCCESS  88
101100100  246  227  215  257  237  237  225  255  8.035146 0.430045 SUCCESS  89
101101000  239  240  261  250  220  236  231  276  9.315835 0.316357 SUCCESS  90
101101100  228  244  244  243  264  226  230  231  5.748239 0.675409 SUCCESS  91
101110000  238  251  240  235  247  250  253  240  1.371065 0.994648 SUCCESS  92
101110100  242  259  268  234  242  225  252  224  7.353329 0.499035 SUCCESS  93
101111000  252  220  246  257  242  239  243  235  3.934561 0.862979 SUCCESS  94
101111100  240  226  222  278  238  256  244  238  9.314958 0.316427 SUCCESS  95
110000000  266  251  231  206  254  232  250  241 10.339347 0.242011 SUCCESS  96
110000010  234  244  227  243  234  250  249  242  2.383075 0.966960 SUCCESS  97
110000100  265  253  250  254  279  239  256  242  8.618561 0.375488 SUCCESS  98
110001000  249  258  245  244  255  261  230  248  3.535391 0.896426 SUCCESS  99
110001010  219  230  250  266  242  242  243  262  7.090525 0.526898 SUCCESS 100
110010000  247  241  213  209  237  253  249  263 11.567227 0.171583 SUCCESS 101
110010010  258  248  237  238  228  256  248  269  5.636895 0.687831 SUCCESS 102
110010100  262  251  271  219  240  261  228  236  9.947905 0.268701 SUCCESS 103
110011000  236  248  245  257  251  243  253  232  2.210796 0.973858 SUCCESS 104
110011010  211  235  238  253  264  256  216  239 11.228296 0.189096 SUCCESS 105
110100000  235  224  240  234  242  221  270  226  9.089125 0.334833 SUCCESS 106
110100010  261  241  231  239  230  242  220  251  5.619998 0.689712 SUCCESS 107
110100100  246  264  270  243  229  242  238  232  6.300227 0.613641 SUCCESS 108
110101000  242  234  255  226  217  267  223  261 10.777938 0.214602 SUCCESS 109
110101010  244  237  241  236  246  263  241  229  3.071297 0.929804 SUCCESS 110
110101100  245  260  253  240  237  209  229  245  7.891845 0.444106 SUCCESS 111
110110000  224  245  229  245  270  209  256  239 11.464406 0.176748 SUCCESS 112
110110010  229  231  232  228  230  244  226  228  6.763940 0.562303 SUCCESS 113
110110100  238  245  235  257  229  234  255  253  3.455623 0.902606 SUCCESS 114
110111000  248  259  230  257  263  239  256  213  8.870789 0.353313 SUCCESS 115
110111010  245  264  252  219  237  216  248  236  8.524180 0.384009 SUCCESS 116
110111100  244  248  250  244  253  230  265  255  3.735588 0.880157 SUCCESS 117
111000000  282  223  230  222  231  230  250  254 13.022346 0.111083 SUCCESS 118
111000010  237  260  244  276  248  260  236  263  8.506521 0.385617 SUCCESS 119
111000100  244  245  264  255  251  254  239  234  3.336335 0.911514 SUCCESS 120
111000110  248  252  242  255  242  237  249  243  1.186540 0.996773 SUCCESS 121
111001000  255  246  242  238  227  256  264  273  7.739012 0.459371 SUCCESS 122
111001010  272  252  253  245  252  265  244  244  5.999442 0.647294 SUCCESS 123
111001100  234  230  227  257  250  242  240  252  3.724881 0.881054 SUCCESS 124
111010000  241  229  245  204  246  226  274  208 18.553027 0.017442 SUCCESS 125
111010010  257  247  273  228  236  232  229  220  9.709296 0.286025 SUCCESS 126
111010100  266  259  275  235  239  256  234  234  8.932734 0.348002 SUCCESS 127
111010110  225  257  264  247  232  223  240  238  6.705454 0.568719 SUCCESS 128
111011000  221  253  231  218  255  223  264  225 11.836617 0.158644 SUCCESS 129
111011010  230  254  247  258  224  233  266  242  6.395716 0.602997 SUCCESS 130
111011100  242  255  255  272  267  246  242  217  9.680533 0.288168 SUCCESS 131
111100000  260  217  242  234  221  246  239  242  7.050095 0.531238 SUCCESS 132
111100010  248  230  259  272  242  247  223  263  8.591916 0.377881 SUCCESS 133
111100100  241  273  228  243  201  259  287  257 21.987020 0.004940 FAILURE 134
111100110  240  234  218  224  251  239  230  258  7.087281 0.527246 SUCCESS 135
111101000  250  251  229  215  251  260  251  257  7.079768 0.528051 SUCCESS 136
111101010  250  250  255  235  236  252  238  212  6.220326 0.622567 SUCCESS 137
111101100  231  237  260  239  245  248  241  217  5.349863 0.719611 SUCCESS 138
111101110  242  247  255  268  246  226  246  226  5.783489 0.671470 SUCCESS 139
111110000  258  232  221  259  241  270  234  275 11.991718 0.151574 SUCCESS 140
111110010  228  265  240  241  216  233  294  227 18.718140 0.016442 SUCCESS 141
111110100  250  267  260  195  257  253  237  251 15.105977 0.057117 SUCCESS 142
111110110  234  225  272  263  222  267  245  232 11.702005 0.165003 SUCCESS 143
111111000  269  247  230  260  263  263  246  243  7.607345 0.472734 SUCCESS 144
111111010  238  269  274  225  251  262  258  229 11.449164 0.177524 SUCCESS 145
111111100  263  253  237  229  250  229  259  248  5.143559 0.742128 SUCCESS 146
111111110  265  276  246  238  248  271  253  255 10.281209 0.245841 SUCCESS 147

		  NONPERIODIC TEMPLATES TEST
-------------------------------------------------------------------------------------
		  COMPUTATIONAL INFORMATION
-------------------------------------------------------------------------------------
	LAMBDA = 244.126953	M = 125001	N = 8	m = 9	n = 1000010
-------------------------------------------------------------------------------------
		F R E Q U E N C Y
Template   W_1  W_2  W_3  W_4  W_5  W_6  W_7  W_8    Chi^2   P_value Assignment Index
-------------------------------------------------------------------------------------
000000001  233  243  230  244  244  252  230  233  3.008211 0.933841 SUCCESS   0
000000011  239  236  234  238  253  252  210  256  7.112304 0.524566 SUCCESS   1
000000101  228  260  224  243  238  249  237  263  5.874809 0.661253 SUCCESS   2
000000111  247  233  241  235  262  241  233  261  4.079352 0.849894 SUCCESS   3
000001001  251  256  249  230  249  232  250  249  2.713880 0.951011 SUCCESS   4
000001011  248  253  230  244  230  250  236  276  6.818106 0.556379 SUCCESS   5
000001101  280  256  254  259  252  248  250  229  8.841150 0.355873 SUCCESS   6
000001111  255  256  247  253  232  269  232  256  5.931043 0.654956 SUCCESS   7
000010001  258  239  246  218  238  251  247  245  4.230994 0.835704 SUCCESS   8
000010011  256  265  243  241  252  244  247  257  3.489599 0.899995 SUCCESS   9
000010101  217  258  247  233  258  266  246  247  7.384673 0.495754 SUCCESS  10
000010111  243  252  239  226  233  233  250  261  4.172823 0.841204 SUCCESS  11
000011001  221  261  227  257  248  253  215  227 10.651104 0.222262 SUCCESS  12
000011011  250  249  232  246  242  237  250  238  1.424189 0.993896 SUCCESS  13
000011101  228  259  225  232  271  243  239  225  8.938228 0.347534 SUCCESS  14
000011111  251  254  260  238  222  245  233  236  4.721434 0.786892 SUCCESS  15
000100011  242  203  229  250  232  259  253  244 10.194556 0.251635 SUCCESS  16
000100101  238  236  295  232  260  199  245  243 21.730323 0.005441 FAILURE  17
000100111  258  239  260  272  244  246  252  267  7.779707 0.455280 SUCCESS  18
000101001  225  249  259  235  248  235  235  268  6.124572 0.633280 SUCCESS  19
000101011  242  253  262  239  280  234  260  242  8.790575 0.360270 SUCCESS  20
000101101  244  257  256  262  245  242  218  248  5.630706 0.688520 SUCCESS  21
000101111  258  260  243  244  226  248  248  268  5.822033 0.667159 SUCCESS  22
000110011  239  249  251  250  240  243  240  244  0.707998 0.999506 SUCCESS  23
000110101  241  248  235  247  223  228  234  225  5.470160 0.706344 SUCCESS  24
000110111  241  254  237  256  240  240  250  228  2.659135 0.953897 SUCCESS  25
000111001  244  232  251  259  239  211  230  253  7.700121 0.463298 SUCCESS  26
000111011  226  232  216  221  253  271  230  253 12.205006 0.142289 SUCCESS  27
000111101  242  226  249  232  240  270  243  247  5.083501 0.748615 SUCCESS  28
000111111  223  269  253  241  234  257  243  225  7.578946 0.475641 SUCCESS  29
001000011  263  236  244  258  249  216  257  221  9.024715 0.340215 SUCCESS  30
001000101  266  246  271  223  249  239  231  252  8.196966 0.414470 SUCCESS  31
001000111  244  219  223  266  264  256  237  259 10.015691 0.263926 SUCCESS  32
001001011  242  203  281  243  250  194  256  223 26.230558 0.000959 FAILURE  33
001001101  242  249  230  248  270  249  265  228  6.913198 0.546026 SUCCESS  34
001001111  201  248  227  264  245  248  258  275 15.779668 0.045645 SUCCESS  35
001010011  223  256  247  260  257  231  250  232  5.791963 0.670522 SUCCESS  36
001010101  235  253  248  218  248  249  229  249  4.876237 0.770719 SUCCESS  37
001010111  244  276  273  223  279  227  260  249 17.290013 0.027227 SUCCESS  38
001011011  248  236  230  256  260  218  249  264  7.519368 0.481768 SUCCESS  39
001011101  245  244  281  237  216  231  253  241 10.435449 0.235783 SUCCESS  40
001011111  280  243  249  241  205  225  240  264 15.380680 0.052153 SUCCESS  41
001100101  234  225  234  249  224  269  230  243  7.707717 0.462529 SUCCESS  42
001100111  249  270  228  251  255  271  242  221 10.084222 0.259164 SUCCESS  43
001101011  260  271  216  265  243  243  257  217 13.154973 0.106628 SUCCESS  44
001101101  276  212  252  256  268  242  263  254 13.892363 0.084614 SUCCESS  45
001101111  244  251  225  240  238  245  235  223  4.228495 0.835942 SUCCESS  46
001110101  238  246  218  244  231  243  250  264  5.620743 0.689629 SUCCESS  47
001110111  229  233  219  233  259  243  234  227  7.313163 0.503252 SUCCESS  48
001111011  225  248  258  234  244  241  233  252  3.691997 0.883789 SUCCESS  49
001111101  244  245  229  271  233  226  238  257  6.810030 0.557261 SUCCESS  50
001111111  241  259  244  238  258  255  260  241  3.562830 0.894259 SUCCESS  51
010000011  278  268  237  247  245  249  230  254  8.888084 0.351825 SUCCESS  52
010000111  227  260  252  209  237  224  243  232 10.360249 0.240646 SUCCESS  53
010001011  275  264  259  231  261  252  231  256 10.174614 0.252984 SUCCESS  54
010001111  234  233  236  273  251  266  262  261  9.557340 0.297478 SUCCESS  55
010010011  240  239  224  248  254  243  279  233  8.058497 0.427777 SUCCESS  56
010010111  254  224  275  266  218  225  245  242 12.658608 0.124148 SUCCESS  57
010011011  239  215  249  236  264  261  266  231  9.722420 0.285051 SUCCESS  58
010011111  241  252  228  242  241  245  228  258  3.386960 0.907783 SUCCESS  59
010100011  260  224  248  234  234  276  245  257  8.725469 0.365982 SUCCESS  60
010100111  221  257  255  227  248  228  238  245  6.039359 0.642823 SUCCESS  61
010101011  236  234  253  236  237  255  214  253  6.222610 0.622312 SUCCESS  62
010101111  241  257  259  223  259  247  255  226  6.436808 0.598425 SUCCESS  63
010110011  270  240  229  255  256  239  246  250  5.248134 0.730756 SUCCESS  64
010110111  256  215  221  265  239  216  247  257 12.503457 0.130115 SUCCESS  65
010111011  236  250  268  259  248  226  265  249  7.179776 0.517366 SUCCESS  66
010111111  271  247  251  235  237  215  237  213 11.777040 0.161432 SUCCESS  67
011000111  234  248  256  260  218  236  249  258  6.250529 0.619191 SUCCESS  68
011001111  252  259  226  256  242  258  263  251  5.732865 0.677126 SUCCESS  69
011010111  237  257  231  262  233  259  246  213  8.582086 0.378767 SUCCESS  70
011011111  249  240  226  255  256  242  248  245  2.748915 0.949113 SUCCESS  71
011101111  238  241  231  250  238  248  252  234  1.996333 0.981124 SUCCESS  72
011111111  236  265  243  241  269  229  263  222  9.346302 0.313930 SUCCESS  73
100000000  233  243  230  244  244  252  230  233  3.008211 0.933841 SUCCESS  74
100010000  260  265  255  235  230  247  248  264  6.384297 0.604268 SUCCESS  75
100100000  235  256  226  244  253  246  220  240  5.229086 0.732834 SUCCESS  76
100101000  263  260  236  244  210  282  231  250 14.743645 0.064326 SUCCESS  77
100110000  223  228  258  249  234  205  219  284 20.239821 0.009466 FAILURE  78
100111000  231  261  254  245  274  261  230  222 10.259132 0.247307 SUCCESS  79
101000000  240  261  241  246  222  241  237  259  4.602676 0.799075 SUCCESS  80
101000100  253  234  242  259  248  217  259  268  8.257288 0.408750 SUCCESS  81
101001000  262  238  229  224  244  249  220  228  7.866822 0.446586 SUCCESS  82
101001100  245  243  240  264  215  221  254  254  8.440192 0.391693 SUCCESS  83
101010000  232  250  249  257  235  250  237  259  3.223286 0.919574 SUCCESS  84
101010100  231  217  250  204  232  234  230  243 12.723944 0.121707 SUCCESS  85
101011000  244  255  228  225  259  233  239  242  4.744967 0.784454 SUCCESS  86
101011100  246  262  248  231  254  236  232  244  3.477749 0.900910 SUCCESS  87
101100000  255  232  222  233  255  268  242  228  7.759169 0.457342 SUCCESS  88
101100100  217  255  256  265  269  247  230  249  9.663719 0.289426 SUCCESS  89
101101000  235  232  263  235  240  263  226  253  6.144812 0.631015 SUCCESS  90
101101100  231  263  243  273  256  233  231  236  7.907997 0.442509 SUCCESS  91
